month,year,posts,Global Alexa ranking for hendrixjoseph.github.io,US Alexa ranking for hendrixjoseph.github.io,Alexa Total Sites Linking In for hendrixjoseph.github.io,Global Alexa ranking for joehxblog.com,US Alexa ranking for joehxblog.com,Alexa Total Sites Linking In for joehxblog.com,Google Analytics Sessions,Google Analytics Users,Google Analytics Pageviews,Google Search Console clicks for hendrixjoseph.github.io,Google Search Console search impressions for hendrixjoseph.github.io,Google Search Console average position for hendrixjoseph.github.io,Google Search Console clicks for joehxblog.com,Google Search Console search impressions for joehxblog.com,Google Search Console average position for joehxblog.com,AdSense balance,AdSense earnings,AdSense Impressions,AdSense Clicks,Moz DA,Moz Linking Domains
July,2023,2,,,,,,,,6200,9700,,,,5430,106000,30.4,$68.28 ,$39.50 ,35425,124,30,939
June,2023,3,,,,,,,,5300,,,,,4700,95700,32.3,$27.91 ,$36.64 ,27480,121,30,911
May,2023,6,,,,,,,6676,6133,7305,,,,5550,182000,30.3,$130.01 ,$32.95 ,33034,125,30,875
April,2023,4,,,,,,,5996,5439,6636,,,,4920,115000,28.8,$91.79 ,$36.60 ,26627,118,31,865
March,2023,2,,,,,,,5528,5047,6209,,,,4190,128000,32,$46.11 ,$47.41 ,20641,119,30,887
February,2023,4,,,,,,,5947,5506,6545,,,,4910,132000,31,$145.32 ,$52.25 ,24248,141,31,890
January,2023,5,,,,,,,5580,5115,6151,,,,4280,125000,33.5,$99.59 ,$31.67 ,19085,85,31,895
December,2022,3,,,,2183763,,,7323,6719,8178,,,,6060,147000,31.4,$52.12 ,$52.10 ,29004,132,31,880
November,2022,3,,,,2404646,,,6937,6210,7630,,,,5720,146000,31,$100.01 ,$58.25 ,29261,152,32,846
October,2022,3,,,,2660483,,,6326,5739,7073,,,,5160,146000,36.2,$53.19 ,$44.71 ,25977,119,32,830
September,2022,5,,,,1643564,,,6676,6050,7415,,,,4870,138000,38.4,$113.42 ,$55.31 ,25788,140,32,829
August,2022,3,,,,1844381,,,6931,6350,7657,,,,4910,144000,39,$57.01 ,$64.10 ,26467,141,32,828
July,2022,3,,,,1849036,,,5658,5124,6352,,,,4650,128000,39.1,$143.50 ,$59.68 ,20781,146,31,828
June,2022,3,,,,2609749,,,5189,4670,5812,,,,4140,118000,36.2,$66.54 ,$77.38 ,16766,152,32,878
May,2022,3,,,,2229192,,,5308,4872,6349,,,,3500,91700,33.3,$135.80 ,$61.29 ,14243,119,33,897
April,2022,4,,,,1402153,,,6743,6000,7632,,,,5380,119000,29.6,$73.15 ,$72.77 ,21469,128,33,888
March,2022,4,,,,1230847,,,5590,4985,6315,,,,4450,109000,30.8,$145.37 ,$66.13 ,17703,122,33,821
February,2022,2,,,,1349299,,,5807,5109,6522,,,,4350,120000,33.7,$68.33 ,$72.56 ,17537,137,33,790
January,2022,4,,,,2440262,,,5648,4993,6612,,,,3950,104000,33.8,$143.66 ,$98.65 ,17336,165,33,735
December,2021,2,,,,3989669,,,6682,5953,8268,,,,5060,115000,33.7,$210.94 ,$142.54 ,19726,179,33,686
November,2021,3,,,,3202104,,,5604,4937,6522,,,,3960,125000,35.4,$93.89 ,$104.22 ,17499,173,33,629
October,2021,1,,,,985395,,,4966,4417,5695,,,,3640,111000,34.6,$164.53 ,$96.84 ,14908,175,34,593
September,2021,5,,,,902965,,,4963,4447,5765,,,,3360,109000,33,$73.03 ,$84.81 ,14899,153,33,559
August,2021,9,,,,891254,,,4919,4404,5729,,,,3510,135000,36.2,$161.43 ,$68.30 ,15124,133,33,521
July,2021,6,,,,1630021,,,5419,4840,7055,0,0,0,3540,100000,31.7,$91.94 ,$77.02 ,15603,141,32,498
June,2021,9,,,,1955945,,,5154,4611,6083,,,,3360,104000,30.8,$114.33 ,$98.65 ,4971,169,32,497
May,2021,4,,,23,1843741,,,6545,5805,8059,0,3,26.7,3330,89800,28.5,$140.96 ,$113.23 ,"19,465",191,31,505
April,2021,2,,,23,1734555,,,4628,4167,5654,0,1,18,2830,76500,26.2,$55.77 ,$74.75 ,14109,131,32,500
March,2021,3,,,23,1273337,,,4502,4000,5237,0,6,25.3,3180,77800,24.8,$129.43 ,$55.08 ,7272,71,31,499
February,2021,2,,,23,979374,,,4645,4184,5423,0,7,66.3,3130,76700,25.5,$59.74 ,$37.47 ,7728,58,31,503
January,2021,6,,,23,1223621,,,4228,3843,4833,0,13,61.3,3010,68300,26,$109.28 ,$57.89 ,8262,93,30,505
December,2020,6,,,23,1758625,,,4403,3971,5187,0,18,64.2,2880,66000,26,$78.20 ,$70.49 ,10961,105,30,510
November,2020,3,,,23,3924894,,,2340,2111,2944,0,14,105,1790,59200,25.6,$121.48 ,$56.21 ,6950,91,31,515
October,2020,5,,,25,3617637,,,1272,1116,1692,1,36,113,769,30400,31.4,$97.41 ,$11.28 ,3077,35,30,520
September,2020,5,,,25,3872598,,,778,685,1047,2,42,50.8,149,1860,62.1,$91.19 ,$2.72 ,1415,9,30,525
August,2020,6,,,30,2421519,,,946,821,1215,2,22,32.1,79,2360,75.2,$86.72 ,$3.59 ,1426,5,31,526
July,2020,2,,,41,2859618,,,1166,1060,1398,0,9,25.4,341,2220,54.1,$83.00 ,$9.37 ,2074,13,30,518
June,2020,4,,,43,2471901,,,862,775,1123,0,10,26.7,53,1880,73.9,$73.95 ,$3.87 ,1333,8,30,511
May,2020,4,,,44,2123128,,2,870,782,1133,0,31,38.1,55,2320,72,$70.50 ,$3.21 ,1667,8,32,499
April,2020,2,,,47,2151032,,2,791,723,968,1,34,51.7,84,1830,66.7,$69.66 ,$2.01 ,1413,8,32,468
March,2020,5,,,49,1013929,,4,802,725,1098,1,24,37.1,109,4040,84.2,$66.94 ,$1.80 ,1281,9,33,457
February,2020,3,,,54,516963,,4,787,702,1018,1,49,37.1,217,2750,55.7,$64.13 ,$3.51 ,1580,16,31,448
January,2020,3,,,57,312868,149540,4,1308,1230,1602,0,16,7.1,431,15900,69.9,$59.28 ,$5.20 ,2291,22,30,421
December,2019,4,,,61,241132,68726,4,1553,1380,2017,1,41,33.8,410,11900,67.6,$52.32 ,$5.81 ,2605,20,30,419
November,2019,7,,,62,222133,61189,4,1087,935,1553,1,204,28.4,380,13600,68.8,$50.17 ,$1.21 ,1675,4,31,408
October,2019,6,649519,,62,247117,48893,1,1292,1158,1584,78,3620,28.1,794,26500,70.9,$49.10 ,$0.76 ,1894,5,32,392
September,2019,8,410109,,61,380230,50180,1,1333,1150,1885,65,3360,27.1,428,11300,70.1,$48.06 ,$1.73 ,3214,6,26,
August,2019,5,369854,65104,58,868422,96362,,2231,1949,2954,1280,61800,29.1,74,1620,43.6,$47.75 ,$3.20 ,1464,3,22,
July,2019,8,533646,70073,61,,,,2714,2398,3347,1810,70800,27.8,,,,$43.67 ,$2.23 ,2601,2,,
June,2019,5,976181,201026,66,,,,1971,1772,2294,1190,76700,25.7,,,,$38.90 ,$4.29 ,1804,3,,
May,2019,4,959456,163843,96,,,,2085,1861,2447,1130,62600,26.2,,,,$37.10 ,$1.45 ,1894,2,,
April,2019,4,1131251,295967,102,,,,1834,1657,2156,1110,57900,25.4,,,,$36.44 ,$0.64 ,1477,1,,
March,2019,6,1004576,201620,109,,,,1903,1718,2323,804,42200,27.2,,,,$35.50 ,$1.06 ,1510,2,,
February,2019,5,1089842,272918,122,,,,1440,1299,2036,736,31900,23.3,,,,$34.59 ,$0.48 ,1145,0,,
January,2019,4,896379,216242,131,,,,1769,1643,2189,1040,29800,19.6,,,,$33.88 ,$0.84 ,1472,2,,
December,2018,6,906349,270380,137,,,,1432,1268,2076,613,29500,21.9,,,,$32.81 ,$0.99 ,1255,0,,
November,2018,7,893840,161491,115,,,,1408,1227,1759,672,32400,18.9,,,,$31.67 ,$1.40 ,1131,3,,
October,2018,5,725959,213888,125,,,,1118,976,1417,1150,52200,20.4,,,,,$0.98 ,798,1,,
September,2018,5,674691,274142,134,,,,1737,1584,2140,612,26700,19.2,,,,,$1.49 ,1475,1,,
August,2018,7,622345,120225,137,,,,1619,1421,2345,,,,,,,,$0.65 ,1218,1,,
July,2018,7,932451,160157,147,,,,1262,1087,1889,,,,,,,$27.93 ,$0.82 ,1022,0,,
June,2018,4,1132272,181152,148,,,,1251,1081,1636,,,,,,,,$1.26 ,863,1,,
May,2018,3,1061086,,146,,,,1412,1106,1757,,,,,,,,$0.73 ,1144,0,,
April,2018,3,973148,284490,144,,,,1579,1247,1947,,,,,,,,$2.16 ,1364,2,,
March,2018,3,1063110,168073,139,,,,4839,4031,5786,,,,,,,,$3.68 ,4802,4,,
February,2018,5,1593646,285409,119,,,,1884,1304,2746,,,,,,,,$1.75 ,1945,4,,
January,2018,3,2476245,452281,80,,,,1356,970,1989,,,,,,,,$1.84 ,1174,1,,
